[2025-05-13 00:41:22] [INFO    ] discord.client: logging in using static token
[2025-05-13 00:41:23] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2025-05-13 00:41:23] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2025-05-13 00:41:23] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1371417523597082634', 'username': 'ogAI', 'avatar': '64c9f20a4f05310c24d611b4064de84d', 'discriminator': '9954', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': 'f9fb6835078d303460eacf72ee00e4fe', 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'banner_color': None, 'clan': None, 'primary_guild': None, 'mfa_enabled': True, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2025-05-13 00:41:23] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2025-05-13 00:41:23] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2025-05-13 00:41:23] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1371417523597082634', 'name': 'AI_Ollama', 'icon': None, 'description': 'Lightweight AI Chatbot for small task and generation of content for the OrGy Sausage Fest Admins', 'type': None, 'bot': {'id': '1371417523597082634', 'username': 'ogAI', 'avatar': '64c9f20a4f05310c24d611b4064de84d', 'discriminator': '9954', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': 'f9fb6835078d303460eacf72ee00e4fe', 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'summary': '', 'is_monetized': False, 'is_verified': False, 'is_discoverable': False, 'bot_public': True, 'bot_require_code_grant': False, 'install_params': {'scopes': ['applications.commands'], 'permissions': '0'}, 'integration_types_config': {'0': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}, '1': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}}, 'verify_key': '7a2d38bd757c31944836693088789a01f476892c1c7b1a4c13a7f5d667bd60c5', 'flags': 557056, 'tags': ['Chatbot', 'text', 'Image Generation'], 'hook': True, 'storefront_available': False, 'redirect_uris': [], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '688735682335735923', 'username': 'bry4n1416', 'avatar': '0444fdd47113ae0461e7f5a5b241a18e', 'discriminator': '0', 'public_flags': 128, 'flags': 128, 'banner': None, 'accent_color': 0, 'global_name': 'B-Ry4n', 'avatar_decoration_data': {'asset': 'a_8d2ef2fcd26fb58d5edbd5efb7d60bab', 'sku_id': '1357852406079291593', 'expires_at': 1749855600}, 'collectibles': None, 'banner_color': '#000000', 'clan': None, 'primary_guild': None}, 'approximate_guild_count': 1, 'approximate_user_install_count': 0, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': True, 'integration_require_code_grant': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 2278, 'monetization_state': 1, 'verification_eligibility_flags': 123804, 'monetization_eligibility_flags': 247524, 'team': None, 'internal_guild_restriction': 2, 'approved_consoles': []}
[2025-05-13 00:41:23] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2025-05-13 00:41:23] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-us-east1-b-tjg3",{"micros":0.0}]']}}
[2025-05-13 00:41:23] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2025-05-13 00:41:23] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-05-13 00:41:23] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'ogAI', 'primary_guild': None, 'mfa_enabled': True, 'id': '1371417523597082634', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '9954', 'clan': None, 'bot': True, 'avatar': '64c9f20a4f05310c24d611b4064de84d'}, 'session_type': 'normal', 'session_id': '410858393558dc600d7a7b0e3a6560e5', 'resume_gateway_url': 'wss://gateway-us-east1-b.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '930870983554900009'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['frankfurt', 'frankfurt-two', 'milan', 'rotterdam', 'paris'], 'game_relationships': [], 'auth': {}, 'application': {'id': '1371417523597082634', 'flags': 557056}, '_trace': ['["gateway-prd-us-east1-b-tjg3",{"micros":130963,"calls":["id_created",{"micros":548,"calls":[]},"session_lookup_time",{"micros":552,"calls":[]},"session_lookup_finished",{"micros":14,"calls":[]},"discord-sessions-prd-2-130",{"micros":129516,"calls":["start_session",{"micros":111151,"calls":["discord-api-prd-canary-rpc-7d57bc45dc-zg955",{"micros":101115,"calls":["get_user",{"micros":10385},"get_guilds",{"micros":3210},"send_scheduled_deletion_message",{"micros":6},"guild_join_requests",{"micros":475},"authorized_ip_coro",{"micros":10},"pending_payments",{"micros":1148},"apex_user_experiments",{"micros":3},"user_activities",{"micros":23}]}]},"starting_guild_connect",{"micros":26,"calls":[]},"presence_started",{"micros":461,"calls":[]},"guilds_started",{"micros":113,"calls":[]},"lobbies_started",{"micros":1,"calls":[]},"guilds_connect",{"micros":1,"calls":[]},"presence_connect",{"micros":17743,"calls":[]},"connect_finished",{"micros":17748,"calls":[]},"build_ready",{"micros":13,"calls":[]},"clean_ready",{"micros":1,"calls":[]},"optimize_ready",{"micros":1,"calls":[]},"split_ready",{"micros":0,"calls":[]}]}]}]']}}
[2025-05-13 00:41:23] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-05-13 00:41:23] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: 410858393558dc600d7a7b0e3a6560e5).
[2025-05-13 00:41:23] [DEBUG   ] discord.client: Dispatching event connect
